trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_res.keys,key_res.rt,key_res.started,key_res.stopped,zwrot,fiksa.started,fiksa.stopped,strza.started,strza.stopped,polygon_3.started,polygon_3.stopped,polygon_4.started,polygon_4.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.767261547000089,None,space,9.94088826799998,7.767261547000089,None,,,,,,,,,,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
0,0,0,0,,,,,,,prawa,17.722456041999976,None,19.72757440299938,None,19.72757440299938,25.708072333999553,22.70716966799955,25.708072333999553,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
1,0,1,0,,,,,,,prawa,25.743653998999434,None,27.742451406999862,None,27.742451406999862,33.72813806300019,30.733894097999837,33.72813806300019,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
2,0,2,0,,,,,,,lewa,33.74901729999965,None,35.74969548399986,None,38.7132244710001,41.732036904999404,35.74969548399986,41.732036904999404,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
3,0,3,0,,,,,,,prawa,41.75302583899975,None,43.7673135999994,None,43.7673135999994,49.73380148599972,46.73215415499999,49.73380148599972,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
4,0,4,0,,,,,,,lewa,49.7671247039998,None,51.77096550299939,None,54.736697157999515,57.74022987399985,51.77096550299939,57.74022987399985,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
5,0,5,0,,,,,,,lewa,57.78958279200015,None,59.805083585999455,None,62.79213206299937,65.77222708699992,59.805083585999455,65.77222708699992,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
6,0,6,0,,,,,,,prawa,65.80753481099964,None,67.80788412599941,None,67.80788412599941,73.77783713200006,70.77421767599935,73.77783713200006,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
7,0,7,0,,,,,,,prawa,73.81333555799938,None,75.82819348300018,None,75.82819348300018,81.79473408800004,78.81373150299987,81.79473408800004,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
8,0,8,0,,,,,,,prawa,81.81125551199966,None,83.81796446899989,None,83.81796446899989,89.78091232599945,86.78426946799937,89.78091232599945,,,,001,2025_mar_18_1307,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
