trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_res.keys,key_res.rt,key_res.started,key_res.stopped,zwrot,fiksa.started,fiksa.stopped,strza.started,strza.stopped,polygon_3.started,polygon_3.stopped,polygon_4.started,polygon_4.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.019332611999744,None,space,3.8250571280004806,16.019332611999744,None,,,,,,,,,,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
0,0,0,0,,,,,,,prawa,19.857111360999625,None,21.85642702899986,None,21.85642702899986,27.841709348000222,24.843799704000048,27.841709348000222,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
1,0,1,0,,,,,,,lewa,27.860898380000435,None,29.876743009000165,None,32.86249987199972,35.860421956999744,29.876743009000165,35.860421956999744,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
2,0,2,0,,,,,,,prawa,35.88097522499993,None,37.8784093309996,None,37.8784093309996,43.84746648300006,40.86281729100028,43.84746648300006,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
3,0,3,0,,,,,,,prawa,43.883818895999866,None,45.897153023999635,None,45.897153023999635,51.86495132100026,48.864074355999946,51.86495132100026,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
4,0,4,0,,,,,,,lewa,51.9006297650003,None,53.91660665299969,None,56.88528548700015,59.88485680899976,53.91660665299969,59.88485680899976,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
5,0,5,0,,,,,,,lewa,59.92119213600017,None,61.93721953400018,None,64.9040037499999,67.92118083700007,61.93721953400018,67.92118083700007,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
6,0,6,0,,,,,,,lewa,67.93921766800031,None,69.94130057500024,None,72.9056855810004,75.90745735600012,69.94130057500024,75.90745735600012,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
7,0,7,0,,,,,,,lewa,75.94487654800014,None,77.9613541839999,None,80.92450107599961,83.92566491300022,77.9613541839999,83.92566491300022,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
8,0,8,0,,,,,,,lewa,83.96077005000006,None,85.96410058200036,None,88.92773765499987,91.92957716900037,85.96410058200036,91.92957716900037,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
9,0,9,0,,,,,,,lewa,91.97918594600014,None,93.98018316700018,None,96.94708935899962,99.94861188100003,93.98018316700018,99.94861188100003,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
10,0,10,0,,,,,,,prawa,99.98360723899987,None,101.99925379199976,None,101.99925379199976,107.96723552200001,104.96642285300004,107.96723552200001,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
11,0,11,0,,,,,,,prawa,108.0028345820001,None,110.01805133499965,None,110.01805133499965,116.00357607899969,113.00588607099962,116.00357607899969,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
12,0,12,0,,,,,,,prawa,116.02215586300008,None,118.03809538699988,None,118.03809538699988,124.00590955999996,121.02236251900013,124.00590955999996,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
13,0,13,0,,,,,,,prawa,124.03930373200001,None,126.04032696299964,None,126.04032696299964,132.00869493000027,129.00757895399965,132.00869493000027,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
14,0,14,0,,,,,,,lewa,132.04659112399986,None,134.061698728,None,137.04790360900006,140.04889110800013,134.061698728,140.04889110800013,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
15,0,15,0,,,,,,,prawa,140.06346364900037,None,142.06329957199978,None,142.06329957199978,148.03175439999995,145.0510687189999,148.03175439999995,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
16,0,16,0,,,,,,,prawa,148.06572536600015,None,150.0840801739996,None,150.0840801739996,156.04968669299979,153.04887779900037,156.04968669299979,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
17,0,17,0,,,,,,,prawa,156.08538845400017,None,158.08521044899953,None,158.08521044899953,164.05415243399966,161.06812059999993,164.05415243399966,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
18,0,18,0,,,,,,,lewa,164.08682884100017,None,166.08678243899976,None,169.05486317099985,172.05796352800007,166.08678243899976,172.05796352800007,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
19,0,19,0,,,,,,,lewa,172.08949760300038,None,174.0890420859996,None,177.07376164800007,180.06242819700037,174.0890420859996,180.06242819700037,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
20,0,20,0,,,,,,,prawa,180.09098327900028,None,182.09191480800018,None,182.09191480800018,188.06050209899968,185.05954335600018,188.06050209899968,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
21,0,21,0,,,,,,,prawa,188.09772766700007,None,190.1130934009998,None,190.1130934009998,196.09686025300016,193.09943770599966,196.09686025300016,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
22,0,22,0,,,,,,,prawa,196.11899043599988,None,198.13077927700033,None,198.13077927700033,None,201.11869412600026,None,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
23,0,23,0,,,,,,,prawa,204.11678701999972,None,206.11956116700003,None,206.11956116700003,212.10195999499956,209.0859094010002,212.10195999499956,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
24,0,24,0,,,,,,,prawa,212.12312012599978,None,214.1391155450001,None,214.1391155450001,220.10802638400037,217.10342612600016,220.10802638400037,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
25,0,25,0,,,,,,,lewa,220.124697448,None,222.139742716,None,225.10634367399962,228.10944371000005,222.139742716,228.10944371000005,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
26,0,26,0,,,,,,,lewa,228.14267854799982,None,230.15811047500029,None,233.12557343200024,236.12664839199988,230.15811047500029,236.12664839199988,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
27,0,27,0,,,,,,,prawa,236.16323244199975,None,238.18127394299972,None,238.18127394299972,244.145860867,241.16554199599977,244.145860867,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
28,0,28,0,,,,,,,prawa,244.18009466199965,None,246.1807239660002,None,246.1807239660002,252.14932446799958,249.16417173300033,252.14932446799958,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
29,0,29,0,,,,,,,lewa,252.18573925199962,None,254.20046504699985,None,257.1664354120003,260.1706932320003,254.20046504699985,260.1706932320003,,,,001,2025_mar_18_1319,ruch_wyb_noga,2020.1.2+brain0.21.g3600fa8b8,None,
